,label,feature1,feature2
0,-1.0,0.44413086,-5.4968125
6,1.0,0.12304297,-0.707875
8,1.0,0.11385937,-0.931375
11,1.0,0.11537109,-0.386
12,1.0,0.10228125,-0.3788125
18,1.0,0.14204297,-1.8194375
28,1.0,0.14896484,-0.9749375
33,1.0,0.12889648,-0.521625
38,-1.0,0.21798242,-3.359625
43,1.0,0.1438125,-0.2509375
69,1.0,0.18283984,-1.0160625
81,1.0,0.14866406,-0.3103125
91,1.0,0.13639648,-0.3523125
111,1.0,0.13327539,-0.8525
118,-1.0,0.304,-4.2009375
123,1.0,0.170125,-0.8236875
125,1.0,0.16058398,-0.5146875
128,1.0,0.18338477,-1.7868125
136,1.0,0.18854883,-1.38175
142,-1.0,0.33870313,-4.6759375
143,1.0,0.14189258,-0.6160625
146,-1.0,0.36472656,-5.27075
165,-1.0,0.32936523,-4.9815
174,1.0,0.22682812,-0.9900625
178,1.0,0.14505859,-0.5869375
183,1.0,0.17768945,-0.8363125
196,1.0,0.093220703,-0.5623125
205,1.0,0.1409375,-0.6854375
210,-1.0,0.19998828,-4.3165625
220,1.0,0.1327793,-0.6373125
232,1.0,0.15301367,-0.3863125
233,1.0,0.13911328,-0.42825
235,1.0,0.12841992,-0.312625
244,1.0,0.13370312,-0.8206875
245,1.0,0.19053711,-0.814
249,1.0,0.22575,-0.9669375
250,1.0,0.10354883,-0.8704375
252,1.0,0.13164844,-0.6746875
255,1.0,0.14570117,-0.6723125
257,1.0,0.17437305,-1.1169375
258,1.0,0.14452539,-0.301
260,-1.0,0.25895117,-4.7979375
261,-1.0,0.24378906,-4.7823125
264,-1.0,0.29211523,-5.5613125
272,1.0,0.13310156,-0.8990625
275,-1.0,0.18447266,-3.474625
280,1.0,0.10353711,-0.32425
283,1.0,0.11791602,-0.928125
288,1.0,0.15707422,-0.3799375
298,-1.0,0.20691602,-3.74675
308,1.0,0.17952344,-0.905875
310,1.0,0.1520625,-0.365125
312,1.0,0.14062305,-0.4494375
318,1.0,0.1064707,-1.0458125
325,-1.0,0.20191211,-3.6116875
343,1.0,0.15307227,-0.6921875
347,-1.0,0.4447832,-5.192375
350,-1.0,0.22581641,-4.0114375
352,1.0,0.14643359,-0.4403125
355,1.0,0.19324805,-1.237
358,-1.0,0.30793359,-6.8123125
359,-1.0,0.24226758,-5.4451875
363,1.0,0.18004688,-0.73
375,-1.0,0.33945508,-5.1548125
376,-1.0,0.34478125,-5.5698125
379,1.0,0.090535156,-0.549875
384,1.0,0.18330469,-1.0176875
390,-1.0,0.35733008,-5.43475
392,1.0,0.13256836,-0.4560625
394,1.0,0.13386133,-1.2381875
406,-1.0,0.23699023,-4.6709375
414,-1.0,0.31241797,-5.316625
416,1.0,0.20066016,-0.89125
419,-1.0,0.22704492,-4.5253125
427,1.0,0.22024414,-0.4883125
430,1.0,0.13918359,-0.2368125
440,-1.0,0.16456055,-2.7685625
443,-1.0,0.35155469,-4.9226875
445,1.0,0.14582422,-0.899875
455,1.0,0.11248828,-0.94625
458,1.0,0.11079297,-1.479125
461,-1.0,0.22054102,-4.6275625
465,1.0,0.14000195,-0.3459375
468,1.0,0.17200195,-1.5355625
474,1.0,0.17664258,-0.5855625
483,1.0,0.19665234,-1.8435
486,1.0,0.11981641,-0.8105625
489,-1.0,0.20003516,-3.9598125
502,1.0,0.15559375,-1.099625
505,1.0,0.13248242,-0.472
507,1.0,0.094105469,-1.25525
509,1.0,0.10238867,-0.5438125
517,1.0,0.16658594,-0.6339375
525,1.0,0.14530859,-0.7505625
528,1.0,0.13091406,-0.335375
536,1.0,0.21311133,-0.706
546,1.0,0.11116211,-0.5193125
556,1.0,0.18099805,-0.7325625
561,-1.0,0.27249219,-4.408625
571,1.0,0.13950195,-0.3895625
595,1.0,0.14158398,-1.0695625
598,1.0,0.10040625,-0.363125
604,-1.0,0.20799219,-4.0975625
619,1.0,0.17087891,-0.721875
620,1.0,0.1547793,-0.430125
627,1.0,0.241625,-0.6540625
631,1.0,0.17457617,-0.277875
632,1.0,0.18857422,-0.419
641,1.0,0.23095117,-0.7899375
645,-1.0,0.35479102,-5.16575
673,1.0,0.13761328,-0.2299375
674,-1.0,0.27346484,-5.3194375
697,1.0,0.13340625,-0.3335625
698,1.0,0.12943359,-0.3091875
699,1.0,0.13410156,-0.3480625
700,1.0,0.12999609,-0.2566875
702,1.0,0.11766797,-0.6435
706,1.0,0.19902539,-0.705375
713,1.0,0.11714258,-0.2729375
717,-1.0,0.1849043,-3.6331875
718,1.0,0.1092793,-0.1195
721,-1.0,0.14020508,-2.8765
726,1.0,0.13987891,-0.900375
727,1.0,0.1466582,-0.7234375
733,-1.0,0.35932617,-6.08425
737,1.0,0.18685742,-0.795125
738,1.0,0.15216406,-1.026125
744,-1.0,0.33897266,-5.44625
752,1.0,0.098416016,-0.5598125
755,1.0,0.18373828,-0.7175625
761,1.0,0.20873242,-0.837375
